time,time,price,market_cap,total_volume,price_ma,price_change
2023-07-08 16:00:11.293,2023-07-08 16:00:11.293,0.4924513358873622,297331107.5832493,8979657.685213119,,nan
2023-07-08 17:00:08.562,2023-07-08 17:00:08.562,0.4933280288733287,297957668.64673775,8892066.912471626,,0.00088
2023-07-08 18:00:07.864,2023-07-08 18:00:07.864,0.4912907738254758,296678416.0725246,8825718.32965736,,-0.00204
2023-07-08 19:00:10.571,2023-07-08 19:00:10.571,0.4909186979108716,296397096.41189545,8635347.004235597,,-0.00037
2023-07-08 20:00:04.894,2023-07-08 20:00:04.894,0.48818160454759,295098500.5001804,8606376.394787446,0.4912340882089257,-0.00274
2023-07-08 21:00:08.064,2023-07-08 21:00:08.064,0.48752468615480704,294439349.7641731,8528463.523260504,0.4902487582624147,-0.00066
2023-07-08 22:00:41.712,2023-07-08 22:00:41.712,0.48970834078147174,295657071.5858722,8448519.975117259,0.48952482064404323,0.00218
2023-07-08 23:00:58.534,2023-07-08 23:00:58.534,0.49120332813815654,296134484.6361417,6521653.97850352,0.4895073315065794,0.00149
2023-07-09 00:01:05.901,2023-07-09 00:01:05.901,0.4911790612584886,296402201.03766763,4575718.64051971,0.4895594041761028,-0.00002
2023-07-09 01:00:21.820,2023-07-09 01:00:21.820,0.49316539235559215,297505037.1397833,4469009.333496844,0.49055616173770317,0.00199
2023-07-09 02:01:06.256,2023-07-09 02:01:06.256,0.4930201093603978,297843732.75835973,4402297.086884036,0.49165524637882135,-0.00015
2023-07-09 03:01:04.210,2023-07-09 03:01:04.210,0.49270584912698423,297617588.67742664,4386482.810717481,0.49225474804792385,-0.00031
2023-07-09 04:00:33.590,2023-07-09 04:00:33.590,0.4939529074452067,298204348.469092,4266970.501645564,0.4928046639093339,0.00125
2023-07-09 05:00:57.664,2023-07-09 05:00:57.664,0.4960709423881335,299194376.2505174,4313616.150319266,0.49378304013526286,0.00212
2023-07-09 06:00:45.636,2023-07-09 06:00:45.636,0.49693746540053835,299554320.0821163,4330104.671087192,0.4945374547442521,0.00087
2023-07-09 07:00:43.506,2023-07-09 07:00:43.506,0.4977900704202922,300572091.0272918,4449199.257042365,0.49549144695623104,0.00085
2023-07-09 08:00:31.877,2023-07-09 08:00:31.877,0.4953741981871622,299152419.9957927,4354770.600178521,0.49602511676826666,-0.00242
2023-07-09 09:00:24.621,2023-07-09 09:00:24.621,0.49778878202198634,300561373.95768684,4349203.306259239,0.49679229168362254,0.00241
2023-07-09 10:00:28.361,2023-07-09 10:00:28.361,0.49613153566861384,299705212.7389189,4315079.556242838,0.49680441033971856,-0.00166
2023-07-09 11:00:47.068,2023-07-09 11:00:47.068,0.4965765073211638,299994065.0880222,4277701.982246867,0.49673221872384365,0.00044
2023-07-09 12:01:01.899,2023-07-09 12:01:01.899,0.4969287759826792,300081506.2627457,4325108.473889758,0.49655995983632106,0.00035
2023-07-09 13:01:01.722,2023-07-09 13:01:01.722,0.4980578285307773,300760818.20462865,4406020.549571066,0.49709668590504413,0.00113
2023-07-09 14:00:14.588,2023-07-09 14:00:14.588,0.49847331997287203,301102045.4197924,4541059.454483056,0.4972335934952213,0.00042
2023-07-09 15:00:09.012,2023-07-09 15:00:09.012,0.4992025226131668,301520675.8214831,4576775.311656582,0.49784779088413184,0.00073
2023-07-09 16:00:36.968,2023-07-09 16:00:36.968,0.4986156437189759,300781686.24411243,4577998.421072524,0.49825561816369424,-0.00059
2023-07-09 17:00:14.311,2023-07-09 17:00:14.311,0.49906904922177553,301370993.5568847,4498929.697120153,0.4986836728115135,0.00045
2023-07-09 18:00:08.656,2023-07-09 18:00:08.656,0.500020700852244,302009368.26538694,4529948.985813859,0.49907624727580685,0.00095
2023-07-09 19:00:26.645,2023-07-09 19:00:26.645,0.5037192115933712,304153186.16114336,4590179.045985507,0.5001254255999067,0.00370
2023-07-09 20:01:14.994,2023-07-09 20:01:14.994,0.4997031319579551,301816245.9795468,4636851.490112032,0.5002255474688644,-0.00402
2023-07-09 21:00:39.022,2023-07-09 21:00:39.022,0.4989463681367658,301187105.48613435,4565602.8554158155,0.5002916923524223,-0.00076
2023-07-09 22:00:59.981,2023-07-09 22:00:59.981,0.49815762877673225,301065817.65874785,4591034.980030716,0.5001094082634137,-0.00079
2023-07-09 23:00:42.907,2023-07-09 23:00:42.907,0.4993405239590671,301730911.59602284,4633512.377475352,0.4999733728847783,0.00118
2023-07-10 00:00:46.087,2023-07-10 00:00:46.087,0.49783951945244553,300880630.1616962,4686486.491581909,0.4987974344565932,-0.00150
2023-07-10 01:00:46.066,2023-07-10 01:00:46.066,0.49420866703112754,298828200.85187584,5119037.95751989,0.4976985414712276,-0.00363
2023-07-10 02:00:24.168,2023-07-10 02:00:24.168,0.49315834264998787,297934388.5732579,5162440.14494586,0.49654093637387203,-0.00105
2023-07-10 03:00:24.881,2023-07-10 03:00:24.881,0.4961630284489455,299139568.9114876,5414469.106899586,0.4961420163083147,0.00300
2023-07-10 04:00:15.976,2023-07-10 04:00:15.976,0.49358814947328583,298030002.313787,5451786.011259801,0.4949915414111585,-0.00257
2023-07-10 05:00:53.315,2023-07-10 05:00:53.315,0.49416654439526503,298467939.0657361,5476416.6989846025,0.49425694639972234,0.00058
2023-07-10 06:00:46.503,2023-07-10 06:00:46.503,0.4924421459341452,297503641.58143425,5381209.326122806,0.4939036421803259,-0.00172
2023-07-10 07:00:34.068,2023-07-10 07:00:34.068,0.4918705148231188,296751260.0340996,5328902.672673637,0.4936460766149521,-0.00057
2023-07-10 08:00:50.916,2023-07-10 08:00:50.916,0.4916021622789852,296676212.83830935,5185763.658987651,0.49273390338096,-0.00027
2023-07-10 09:00:50.764,2023-07-10 09:00:50.764,0.49016095330858656,296000434.9261438,5256345.090487615,0.49204846414802017,-0.00144
2023-07-10 10:00:19.371,2023-07-10 10:00:19.371,0.49274753364355056,297582209.62583125,5282313.07876031,0.49176466199767727,0.00259
2023-07-10 11:00:43.386,2023-07-10 11:00:43.386,0.494272037167598,298662198.66084236,5337756.031771581,0.4921306402443678,0.00152
2023-07-10 12:01:31.279,2023-07-10 12:01:31.279,0.494259197711256,298514073.95316285,5330420.68308103,0.49260837682199526,-0.00001
2023-07-10 13:01:19.382,2023-07-10 13:01:19.382,0.4930901267967572,299041525.57306194,5276486.014453239,0.4929059697255497,-0.00117
2023-07-10 14:01:21.160,2023-07-10 14:01:21.160,0.4956857863581829,299391282.1303699,5538032.820771083,0.4940109363354689,0.00260
2023-07-10 15:00:45.469,2023-07-10 15:00:45.469,0.49494900847060996,298537238.5434756,5432678.791364236,0.49445123130088076,-0.00074
2023-07-10 16:00:36.685,2023-07-10 16:00:36.685,0.4941338289404175,298223791.9388448,5593087.755237901,0.49442358965544475,-0.00082
2023-07-10 17:00:01.781,2023-07-10 17:00:01.781,0.4941384702277911,298232678.9592072,5720030.419339556,0.49439944415875176,0.00000
2023-07-10 18:00:38.581,2023-07-10 18:00:38.581,0.49434644850320153,298485217.3089744,5830829.772018706,0.4946507085000406,0.00021
2023-07-10 19:00:22.222,2023-07-10 19:00:22.222,0.49475622058044183,298946587.5190796,5948334.83801659,0.4944647953444924,0.00041
2023-07-10 20:00:42.209,2023-07-10 20:00:42.209,0.4995945014293192,301328254.06469256,6044692.296939708,0.49539389393623423,0.00484
2023-07-10 21:00:18.333,2023-07-10 21:00:18.333,0.4998505033185922,301966082.96751714,7180679.015903734,0.4965372288118692,0.00026
2023-07-10 22:00:48.502,2023-07-10 22:00:48.502,0.4982107314938533,301109890.564843,7382512.571582641,0.4973516810650816,-0.00164
2023-07-10 23:00:42.562,2023-07-10 23:00:42.562,0.49303491238513775,298088915.6781859,7546400.466552875,0.4970893738414689,-0.00518
2023-07-11 00:00:45.753,2023-07-11 00:00:45.753,0.4930692798097044,298606364.667392,7576921.907899832,0.4967519856873214,0.00003
2023-07-11 01:00:36.902,2023-07-11 01:00:36.902,0.4902630781898716,297837266.77933943,7507013.170770819,0.49488570103943186,-0.00281
2023-07-11 02:00:33.107,2023-07-11 02:00:33.107,0.4939090394320153,298665254.96065545,7230319.031957703,0.49369740826211644,0.00365
2023-07-11 03:00:49.356,2023-07-11 03:00:49.356,0.4957614865061374,299557007.2110798,7160673.797177478,0.49320755926457327,0.00185
2023-07-11 04:01:14.689,2023-07-11 04:01:14.689,0.49497703715371316,299057176.15690774,6932311.882737901,0.4935959842182884,-0.00078
2023-07-11 05:00:34.950,2023-07-11 05:00:34.950,0.4955876363465039,299522625.797876,6927490.40748287,0.4940996555256483,0.00061
2023-07-11 06:00:33.851,2023-07-11 06:00:33.851,0.49641417514274244,300044367.7135661,7004821.746522752,0.4953298749162224,0.00083
2023-07-11 07:01:07.500,2023-07-11 07:01:07.500,0.4973915784960489,300487180.5832036,7091064.135707623,0.49602638272902916,0.00098
2023-07-11 08:01:11.087,2023-07-11 08:01:11.087,0.4965476777613362,300261597.05540115,7130430.871893882,0.49618362098006885,-0.00084
2023-07-11 09:00:46.551,2023-07-11 09:00:46.551,0.49508714315511415,299037984.525608,7134533.468967813,0.4962056421803491,-0.00146
2023-07-11 10:00:42.269,2023-07-11 10:00:42.269,0.49194538438710045,297346995.64860415,7059646.756749324,0.4954771917884685,-0.00314
2023-07-11 11:01:35.929,2023-07-11 11:01:35.929,0.49184001938371735,297141289.9279485,7008230.63016803,0.4945623606366635,-0.00011
2023-07-11 12:00:39.519,2023-07-11 12:00:39.519,0.49359238684492435,298227231.04935676,6984674.680100994,0.49380252230643845,0.00175
2023-07-11 13:00:36.808,2023-07-11 13:00:36.808,0.49309506099447253,297916289.67932796,7127527.882510761,0.4931119989530658,-0.00050
2023-07-11 14:01:18.962,2023-07-11 14:01:18.962,0.49378985596982305,298208127.8409564,7523930.263673614,0.49285254151600755,0.00069
2023-07-11 15:01:23.084,2023-07-11 15:01:23.084,0.49324009338927494,298032264.71932304,7294900.8788843015,0.49311148331644244,-0.00055
2023-07-11 16:01:29.621,2023-07-11 16:01:29.621,0.49333080495135684,298123195.5672547,7618783.025650533,0.4934096404299703,0.00009
2023-07-11 17:00:42.442,2023-07-11 17:00:42.442,0.49104835281688824,296787251.5817035,7416922.182170439,0.49290083362436315,-0.00228
2023-07-11 18:00:33.695,2023-07-11 18:00:33.695,0.49155809759631003,297676757.61638194,7523042.968819669,0.4925934409447306,0.00051
2023-07-11 19:00:40.745,2023-07-11 19:00:40.745,0.49121646965211113,296889184.64434934,7917374.861974017,0.4920787636811882,-0.00034
2023-07-11 20:01:30.779,2023-07-11 20:01:30.779,0.4926201485360247,297841759.13602304,8160862.113948974,0.49195477471053817,0.00140
2023-07-11 21:00:40.916,2023-07-11 21:00:40.916,0.48982399403039323,295865679.50471544,8352199.682667406,0.49125341252634547,-0.00280
2023-07-11 22:01:22.966,2023-07-11 22:01:22.966,0.48971087630553195,295625942.57012165,7653966.543121057,0.49098591722407414,-0.00011
2023-07-11 23:00:39.612,2023-07-11 23:00:39.612,0.4894090729546543,296065903.9400802,7355139.848888511,0.49055611229574303,-0.00030
2023-07-12 00:00:46.233,2023-07-12 00:00:46.233,0.49076412906828415,296570068.6879134,7174403.546186291,0.49046564417897764,0.00136
2023-07-12 01:00:52.511,2023-07-12 01:00:52.511,0.4908386311326543,296569699.9370655,7251654.8529609665,0.4901093406983036,0.00007
2023-07-12 02:01:09.047,2023-07-12 02:01:09.047,0.49050223202812193,296332891.1079841,7259118.834597404,0.49024498829784935,-0.00034
2023-07-12 03:00:48.166,2023-07-12 03:00:48.166,0.49194714485270835,297509886.54524547,7251204.130555243,0.49069224200728456,0.00144
2023-07-12 04:00:35.916,2023-07-12 04:00:35.916,0.49178685332975314,297531878.0389547,7342432.075141949,0.4911677980823043,-0.00016
2023-07-12 05:01:39.744,2023-07-12 05:01:39.744,0.4925094946666886,297676343.1604021,7305076.509204912,0.49151687120198523,0.00072
2023-07-12 06:00:40.377,2023-07-12 06:00:40.377,0.49490280863781017,298828226.6789541,7570133.982612788,0.49232970670301646,0.00239
2023-07-12 07:00:52.940,2023-07-12 07:00:52.940,0.49621897365296924,299933049.9680662,7724658.56096154,0.4934730550279859,0.00132
2023-07-12 08:01:29.884,2023-07-12 08:01:29.884,0.4967949644451569,299872391.6311925,7735861.054470454,0.49444261894647556,0.00058
2023-07-12 09:01:26.287,2023-07-12 09:01:26.287,0.4964285629147556,299482724.2650477,7949924.634423357,0.4953709608634761,-0.00037
2023-07-12 10:01:09.349,2023-07-12 10:01:09.349,0.4955896549374191,299426292.1284644,8020699.445526725,0.49598699291762216,-0.00084
2023-07-12 11:01:28.419,2023-07-12 11:01:28.419,0.49569144075340055,299345798.95479786,8127603.873074862,0.4961447193407403,0.00010
2023-07-12 12:00:44.299,2023-07-12 12:00:44.299,0.495492631182607,299329934.6917955,8261574.293113554,0.49599945084666786,-0.00020
2023-07-12 13:01:08.182,2023-07-12 13:01:08.182,0.4963319381446159,300047722.987459,8406170.241604563,0.4959068455865596,0.00084
2023-07-12 14:00:43.785,2023-07-12 14:00:43.785,0.4925448446794635,297543711.5888594,8420176.903054614,0.4951301019395012,-0.00379
2023-07-12 15:01:34.268,2023-07-12 15:01:34.268,0.49457028047345014,298664863.58809096,8160936.861918161,0.49492622704670747,0.00203
2023-07-12 16:00:45.462,2023-07-12 16:00:45.462,0.49036713224506007,297223634.31714284,8051055.175986439,0.4938613653450393,-0.00420
2023-07-12 17:00:41.046,2023-07-12 17:00:41.046,0.4884909785760872,295020813.78060794,8168100.192789207,0.4924610348237353,-0.00188
2023-07-12 18:01:19.944,2023-07-12 18:01:19.944,0.48833764959654963,295325599.42463326,8092649.1092230035,0.4908621771141221,-0.00015
2023-07-12 19:00:39.973,2023-07-12 19:00:39.973,0.4891602899887501,295623362.5679984,7860191.808029052,0.49018526617597946,0.00082
2023-07-12 20:00:41.720,2023-07-12 20:00:41.720,0.4850855633895076,293248412.78437895,7759398.821252943,0.48828832275919093,-0.00407
2023-07-12 21:00:31.799,2023-07-12 21:00:31.799,0.4868872363011482,294129129.27886623,7522152.780039726,0.48759234357040854,0.00180
2023-07-12 22:00:18.512,2023-07-12 22:00:18.512,0.48564631030261496,293495929.729879,7161994.661683553,0.48702340991571413,-0.00124
2023-07-12 23:00:42.333,2023-07-12 23:00:42.333,0.48630151522998766,293845256.5177606,6870114.051987552,0.48661618304240173,0.00066
2023-07-13 00:00:34.680,2023-07-13 00:00:34.680,0.48731225724204885,294642382.09582156,6849941.416941914,0.4862465764930615,0.00101
2023-07-13 01:00:47.122,2023-07-13 01:00:47.122,0.4856959324612453,293847391.2083489,6786029.398868909,0.48636865030740906,-0.00162
2023-07-13 02:00:12.686,2023-07-13 02:00:12.686,0.4860388708050745,293356875.92361486,6823246.02122301,0.48619897720819427,0.00034
2023-07-13 03:00:26.795,2023-07-13 03:00:26.795,0.48402720772330665,293217496.0262495,6832267.044990042,0.4858751566923326,-0.00201
2023-07-13 04:00:14.334,2023-07-13 04:00:14.334,0.48202003649256414,291358758.937777,6831318.956618478,0.4850188609448479,-0.00201
2023-07-13 05:00:23.246,2023-07-13 05:00:23.246,0.48355606964498604,292319211.4880939,6833485.725357827,0.4842676234254354,0.00154
2023-07-13 06:00:41.735,2023-07-13 06:00:41.735,0.4841509242134974,292174227.026016,6499814.007617494,0.4839586217758858,0.00059
2023-07-13 07:00:15.607,2023-07-13 07:00:15.607,0.48557787024186805,293599025.9608573,6443015.661364999,0.4838664216632445,0.00143
2023-07-13 08:00:31.055,2023-07-13 08:00:31.055,0.48545822382041326,293279494.0986937,6356328.231215801,0.4841526248826658,-0.00012
2023-07-13 09:00:43.871,2023-07-13 09:00:43.871,0.4852148910797139,293463113.00128794,6241542.372356032,0.48479159580009573,-0.00024
2023-07-13 10:00:50.151,2023-07-13 10:00:50.151,0.4885763575393694,294943263.27520746,6038129.662884524,0.4857956533789724,0.00336
2023-07-13 11:00:50.123,2023-07-13 11:00:50.123,0.4889282841248655,295753368.92354417,5994294.512097994,0.48675112536124604,0.00035
2023-07-13 12:00:00.108,2023-07-13 12:00:00.108,0.49553507941219527,299553191.1262974,7515959.995115876,0.4887425671953115,0.00661
2023-07-13 13:00:26.916,2023-07-13 13:00:26.916,0.49351283911356253,298840402.90148205,7772466.962656312,0.49035349025394137,-0.00202
2023-07-13 14:00:30.664,2023-07-13 14:00:30.664,0.4954872622101177,299080166.64097404,7918970.141644299,0.4924079644800221,0.00197
2023-07-13 15:00:25.718,2023-07-13 15:00:25.718,0.49529932350756467,299446443.31472033,8011744.666848619,0.4937525576736611,-0.00019
2023-07-13 15:49:11.000,2023-07-13 15:49:11.000,0.5029076527707812,302265383.7159075,8073690.731696703,0.4965484314028442,0.00761
